City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,juneau,58.3019,-134.4197,8.0,97,100,6.17,US,1701041154
160,talakan,50.3167,130.3667,-22.2,100,22,0.7,RU,1701041154
161,lander,42.833,-108.7307,1.33,73,0,2.06,US,1701041104
162,opuwo,-18.0607,13.84,24.75,56,92,2.48,NA,1701041154
163,saipan,15.1355,145.701,29.39,79,0,8.75,MP,1701041154
164,punta arenas,-53.15,-70.9167,10.06,53,20,9.26,CL,1701041128
165,torghay,49.6339,63.4981,0.92,71,100,4.58,KZ,1701041155
166,kapuskasing,49.4169,-82.4331,-0.95,100,100,3.09,CA,1701041155
167,mae hong son,19.3003,97.9685,18.08,100,40,1.54,TH,1701041155
168,east london,-33.0153,27.9116,21.13,95,37,3.71,ZA,1701041155
169,port elizabeth,-33.918,25.5701,21.29,71,0,2.57,ZA,1701041156
170,camacupa,-12.0167,17.4833,17.19,96,96,1.68,AO,1701041156
171,touros,-5.1989,-35.4608,25.59,74,1,4.59,BR,1701041156
172,al jawf,29.5,38.75,16.6,34,0,4.23,SA,1701041156
173,ruteng,-8.6136,120.4721,19.43,79,100,0.73,ID,1701041156
174,salihorsk,52.7876,27.5415,-5.56,90,100,6.42,BY,1701041157
175,kuta,-8.7233,115.1723,26.97,78,40,1.54,ID,1701041157
176,kabwe,-14.4469,28.4464,19.24,83,100,0.82,ZM,1701041157
177,lorengau,-2.0226,147.2712,29.28,70,91,2.06,PG,1701041157
178,san patricio,28.017,-97.5169,16.05,50,100,6.95,US,1701041158
179,arkalyk,50.2486,66.9114,1.53,45,100,8.11,KZ,1701041158
180,morehead city,34.7229,-76.726,10.02,77,100,2.51,US,1701041158
181,salinas,36.6777,-121.6555,19.05,32,75,6.17,US,1701041149
182,kuna,43.4918,-116.4201,2.88,64,0,2.06,US,1701041158
183,lata,40.1629,-8.3327,14.34,96,81,0.24,PT,1701041159
184,hithadhoo,-0.6,73.0833,27.38,75,64,1.2,MV,1701041159
185,hadibu,12.65,54.0333,25.69,74,97,5.16,YE,1701041159
186,faya-largeau,17.9257,19.1043,23.93,16,29,9.78,TD,1701041159
187,ulanhot,46.0833,122.0833,-12.06,83,100,1.01,CN,1701041124
188,sanghar,26.0466,68.9481,18.08,68,1,1.92,PK,1701041160
189,san luis de la loma,17.2706,-100.8939,28.28,73,86,1.39,MX,1701041160
190,port lincoln,-34.7333,135.8667,15.51,77,100,9.03,AU,1701041160
191,onguday,50.75,86.15,-4.02,82,23,1.3,RU,1701041160
192,san pedro,14.35,121.0167,27.4,90,20,1.79,PH,1701041160
193,linkou,45.3,130.2833,-13.51,95,100,0.62,CN,1701041161
194,agadez,19.75,10.25,20.07,20,100,2.21,NE,1701041161
195,horta,38.5333,-28.6333,17.79,97,99,6.26,PT,1701041161
196,new norfolk,-42.7826,147.0587,12.18,49,27,1.35,AU,1701041161
197,lebu,-37.6167,-73.65,14.31,84,100,4.7,CL,1701041161
198,afaahiti,-17.75,-149.2833,28.93,84,77,8.8,PF,1701041162
199,kuytun,54.3419,101.5036,-21.33,97,43,0.35,RU,1701041162
200,alappuzha,9.49,76.3264,25.7,84,100,2.4,IN,1701041162
201,shubarshi,48.5872,57.1869,1.63,75,98,6.91,KZ,1701041163
202,voi,-3.3945,38.563,22.38,89,100,1.72,KE,1701041163
203,kanniyakumari,8.0833,77.5667,25.93,85,35,9.12,IN,1701041163
204,taltal,-25.4,-70.4833,18.27,71,22,3.18,CL,1701041163
205,buritizeiro,-17.3511,-44.9622,27.07,55,89,1.46,BR,1701041164
206,isangel,-19.55,169.2667,28.06,61,75,2.57,VU,1701040968
207,lucerne valley,34.4439,-116.9678,14.41,40,100,4.55,US,1701041164
208,as saffaniyah,27.9708,48.73,22.65,82,38,4.76,SA,1701041164
209,piacabucu,-10.4056,-36.4344,24.34,75,0,3.12,BR,1701041165
210,roosevelt,33.9668,-103.4505,7.12,25,1,1.62,US,1701040923
211,ulladulla,-35.35,150.4667,23.76,80,93,3.08,AU,1701041166
212,thunder bay,48.4001,-89.3168,-2.01,86,100,3.6,CA,1701041166
213,nema,57.5067,50.5011,1.04,97,100,3.56,RU,1701041166
214,ta`u,-14.2336,-169.5144,27.85,84,67,8.23,AS,1701041166
215,hyesan,41.4017,128.1778,-4.42,95,100,0.25,KP,1701041167
216,verkhnevilyuysk,63.4453,120.3167,-17.34,93,100,4.01,RU,1701041167
217,labytnangi,66.6572,66.4183,-22.14,99,67,1.37,RU,1701041167
218,barra de santo antonio,-9.4047,-35.5072,23.6,70,0,2.35,BR,1701041167
219,punta del este,-34.9667,-54.95,24.06,81,0,4.12,UY,1701041168
220,port isabel,26.0734,-97.2086,18.34,86,100,7.72,US,1701041168
221,kavaratti,10.5669,72.642,28.48,71,19,2.54,IN,1701041168
222,kovdor,67.5662,30.4758,-23.03,100,74,0.94,RU,1701041168
223,le port,-20.9373,55.2919,22.98,82,48,1.25,RE,1701041169
224,lihue,21.9789,-159.3672,26.58,73,75,7.72,US,1701041169
225,banfora,10.6333,-4.7667,28.75,49,93,1.27,BF,1701041169
226,shenjiamen,29.9576,122.298,14.82,72,72,5.11,CN,1701041169
